Sponsor name (parent entity) - click here for explanation,Sponsor name (subsidiary / affiliate entity - if any) - click here for explanation,Tournament / Sport Organisation Name,Sport
Public Investment Fund,Diriyah Gate Development Authority,Wadi Safar Golf Course,Golf
Public Investment Fund,EA Sports,Italian Super Cup,Football
Public Investment Fund,EA Sports,Saudi Pro League,Football
Public Investment Fund,Enowa.Neom,Extreme E,Motorsport
Public Investment Fund,Future Investment Initiative Institute,Aramco Team Series,Golf
Public Investment Fund,Gulf International Bank (GIB),Al-Nassr,Football
Public Investment Fund,Jeddah Central Development Company,Al-Ahli,Football
Public Investment Fund,Jeddah Central Development Company,Al-Ittihad,Football
Public Investment Fund,KAFD,Al-Nassr,Football
Public Investment Fund,Lucid Motors,2023 WWE Crown Jewel,Wrestling
Public Investment Fund,Lucid Motors,Tyson Fury vs. Francis Ngannou,Boxing
Public Investment Fund,Neom,2023 Extreme E - Desert X Prix,Motorsport
Public Investment Fund,Neom,2023 NEOM Beach Games,Multisport
Public Investment Fund,Neom,2023 NEOM Beach Soccer Cup,Football
Public Investment Fund,Neom,2023 NEOM FIBA 3x3 Challenger,Basketball
Public Investment Fund,Neom,2023 NEOM IFSC Masters,Climbing
Public Investment Fund,Neom,2023 NEOM Titan Desert Saudi Arabia,Cycling
Public Investment Fund,Neom,2023 Riyadh Marathon,Athletics
Public Investment Fund,Neom,2023 Super League Triathlon Neom,Triathlon
Public Investment Fund,Neom,2029 Asian Winter Games,Multisport
Public Investment Fund,Neom,AFC Champions League,Football
Public Investment Fund,Neom,AFC Cup,Football
Public Investment Fund,Neom,AFC Women's Asian Cup,Football
Public Investment Fund,Neom,AFC World Cup Qualification,Football
Public Investment Fund,Neom,Al Suqoor FC (Neom),Football
Public Investment Fund,Neom,Asian Football Confederation,Football
Public Investment Fund,Neom,McLaren Racing,Motorsport
Public Investment Fund,Neom,Men's Asian Cup,Football
Public Investment Fund,Neom,NEOM McLaren Extreme E Team,Motorsport
Public Investment Fund,Neom,NEOM McLaren Formula E Team,Motorsport
Public Investment Fund,Neom,Next World,Esports
Public Investment Fund,Neom,Rajasthan Royals,Cricket
Public Investment Fund,Neom,Shuhub Community Program,Football
Public Investment Fund,Neom,Spanish Super Cup,Football
Public Investment Fund,Neom,U23 AFC Asian Cup,Football
Public Investment Fund,New Murabba,2023 WWE Crown Jewel,Wrestling
Public Investment Fund,New Murabba,Tyson Fury vs. Francis Ngannou,Boxing
Public Investment Fund,Noon,Newcastle United,Football
Public Investment Fund,Noon,Saudi Pro League,Football
Public Investment Fund,Noug,Al-Nassr,Football
Public Investment Fund,nupco,Al-Nassr,Football
Public Investment Fund,Qiddiya,2034 Asian Games,Multisport
Public Investment Fund,Qiddiya,Al-Hilal,Football
Public Investment Fund,Qiddiya,Al-Nassr,Football
Public Investment Fund,Qiddiya,Gamers8,Esports
Public Investment Fund,Qiddiya,Next World,Esports
Public Investment Fund,Qiddiya,Qiddiya Stadium,Football
Public Investment Fund,Red Sea Global,Al-Ahli,Football
Public Investment Fund,Red Sea Global,Richard Mille AlUla Desert Polo (Via Amaala),Polo
Public Investment Fund,Red Sea Global,Saudi Arabian Cricket Federation,Cricket
Public Investment Fund,Red Sea Global,Saudi Arabian Sea Sports and Diving Federation (Via Galaxea),Sea Sports and Diving
Public Investment Fund,Red Sea Global,Spanish Super Cup,Football
Public Investment Fund,Red Sea Global,Team Amaala (Via Amaala),Polo
Public Investment Fund,Red Sea Global,The Ocean Race,Sailing
Public Investment Fund,Red Sea Global,The Red Sea Cup,Football
Public Investment Fund,Riyad Bank,Al-Hilal,Football
Public Investment Fund,Riyad Bank,Diriyah Season,Multisport
Public Investment Fund,Riyad Bank,Diriyah Tennis Cup,Tennis
Public Investment Fund,Riyadh Air,Atlético de Madrid,Football
Public Investment Fund,ROSHN,2023 Riyadh Marathon,Athletics
Public Investment Fund,ROSHN,2023 WWE Crown Jewel,Wrestling
Public Investment Fund,ROSHN,Al-Ittihad,Football
Public Investment Fund,ROSHN,Formula 1 Saudi Arabian Grand Prix,Motorsport
Public Investment Fund,ROSHN,Jeddah Half Marathon,Athletics
Public Investment Fund,ROSHN,LIV Golf Invitational Jeddah,Golf
Public Investment Fund,ROSHN,Riyadh Season,Multisport
Public Investment Fund,ROSHN,Saudi Pro League,Football
Public Investment Fund,ROSHN,Saudi Sports for All Federation,Multisport
Public Investment Fund,ROSHN,Tyson Fury vs. Francis Ngannou,Boxing
Public Investment Fund,Sanabil Investments,Al-Hilal,Football
Public Investment Fund,Saudi Coffee Company,Al-Ahli (Via Jazean Coffee),Football
Public Investment Fund,Saudi Company for Artificial Intelligence,Al-Ahli,Football
Public Investment Fund,Saudi Information Technology Company (SITE),Al-Ahli,Football
Public Investment Fund,Saudi Investment Recycling Company,Al-Ahli,Football
Public Investment Fund,Saudi National Bank,2023 WWE Crown Jewel,Wrestling
Public Investment Fund,Saudi National Bank,PIF Saudi International,Golf
Public Investment Fund,Saudi National Bank,Riyadh Season,Multisport
Public Investment Fund,Saudi National Bank,Saudi Arabian Football Federation,Football
Public Investment Fund,Saudi National Bank,Saudi Esports Federation,Esports
Public Investment Fund,Saudi National Bank,Tyson Fury vs. Francis Ngannou,Boxing
Public Investment Fund,Saudi Telecom Company (stc),2023 WWE Crown Jewel,Wrestling
Public Investment Fund,Saudi Telecom Company (stc),Gamers Without Borders,Esports
Public Investment Fund,Saudi Telecom Company (stc),Gamers8 (Via stc play),Esports
Public Investment Fund,Saudi Telecom Company (stc),Newcastle United,Football
Public Investment Fund,Saudi Telecom Company (stc),Next World,Esports
Public Investment Fund,Saudi Telecom Company (stc),PIF Saudi International,Golf
Public Investment Fund,Saudi Telecom Company (stc),Riyadh Season,Multisport
Public Investment Fund,Saudi Telecom Company (stc),Saudi Cup 2023,Equestrian
Public Investment Fund,Saudi Telecom Company (stc),Saudi eLeague,Esports
Public Investment Fund,Saudi Telecom Company (stc),Saudi Esports Federation (Via stc play),Esports
Public Investment Fund,Saudi Telecom Company (stc),Team Falcons (Via stc play),Esports
Public Investment Fund,Saudi Telecom Company (stc),Tyson Fury vs. Francis Ngannou,Boxing
Public Investment Fund,Saudi Tourism Investment Company (ASFAR),Al-Hilal,Football
Public Investment Fund,Savvy Games Group,2023 MCV/DEVELOP Awards,Esports
Public Investment Fund,Savvy Games Group,Al-Hilal,Football
Public Investment Fund,Savvy Games Group,ESL FACEIT,Esports
Public Investment Fund,Savvy Games Group,Gamers Without Borders,Esports
Public Investment Fund,Savvy Games Group,Gamers8,Esports
Public Investment Fund,Savvy Games Group,Newcastle United (Via VOV Gaming),Esports
Public Investment Fund,Savvy Games Group,Next World,Esports
Public Investment Fund,Savvy Games Group,Nine66,Esports
Public Investment Fund,Savvy Games Group,Saudi eLeague,Esports
Public Investment Fund,Savvy Games Group,Scopely,Esports
Public Investment Fund,Savvy Games Group,The Global Esports Federation (Via ESL FACEIT GROUP),Esports
Public Investment Fund,Savvy Games Group,The Global Esports Federation (Via VOV Gaming),Esports
Public Investment Fund,Savvy Games Group,The Saudi Esports Federation,Esports
Public Investment Fund,Savvy Games Group,VOV Gaming,Esports
Public Investment Fund,Sela,Newcastle United,Football
Public Investment Fund,Sela,Saudi Arabian Sailing Federation,Sailing
Public Investment Fund,SEVEN,Al-Hilal,Football
Public Investment Fund,SRJ Sports Investments,Al-Ittihad,Football
Public Investment Fund,SRJ Sports Investments,Professional Fighters League,MMA
Public Investment Fund,Tarshid,2023 FIA CORE Diriyah E-Prix,Motorsport
Public Investment Fund,Tarshid,Al-Nassr,Football
Public Investment Fund,The Helicopter Company,Al-Hilal,Football
Public Investment Fund,The National Security Services Company (SAFE),Al-Ittihad,Football
Public Investment Fund,The Rig,Al-Hilal,Football
Public Investment Fund,The Saudi Real Estate Refinance Company (SRC),Al-Ittihad,Football
Saudi Arabian Athletics Federation,Direct sponsorship,2023 Riyadh Marathon,Athletics
Saudi Arabian Basketball Federation,Direct sponsorship,FIBA 3x3 World Tour 2023 Final,Basketball
Saudi Arabian Cycling Federation,Direct sponsorship,Asian Cycling Confederation,Cycling
Saudi Arabian Cycling Federation,Direct sponsorship,Saudi Tour 2023,Cycling
Saudi Arabian Cycling Federation,Direct sponsorship,Team Movistar,Cycling
Saudi Arabian Equestrian Federation ,Direct sponsorship,2023 Custodian of the Two Holy Mosques Endurance Cup,Equestrian
Saudi Arabian Equestrian Federation ,Direct sponsorship,Jump Saudi,Equestrian
Saudi Arabian Football Federation,Direct sponsorship,2023 TotalEnergies CAF Super Cup,Football
Saudi Arabian Football Federation,Direct sponsorship,2023 Turkish Super Cup,Football
Saudi Arabian Football Federation,Direct sponsorship,2027 AFC Asian Cup,Football
Saudi Arabian Handball Federation,Direct sponsorship,2023 IHF Men's Super Globe,Handball
Saudi Arabian Sailing Federation,Direct sponsorship,37th America’s Cup pre-regatta - Jeddah,Sailing
Saudi Arabian Weightlifting Federation,Direct sponsorship,2023 IWF Weightlifting World Championships,Weightlifting
Saudi Automobile & Motorcycle Federation,Direct sponsorship,2023 Saudi Toyota Championship,Motorsport
Saudi Automobile & Motorcycle Federation,Direct sponsorship,Dakar Rally,Motorsport
Saudi Automobile & Motorcycle Federation,Direct sponsorship,Formula 1 Saudi Arabian Grand Prix,Motorsport
Saudi Automobile & Motorcycle Federation,Saudi Motorsport Company,2023 Saudi Toyota Championship,Motorsport
Saudi Automobile & Motorcycle Federation,Saudi Motorsport Company,Formula 1 Saudi Arabian Grand Prix,Motorsport
Saudi Equestrian Federation,Direct sponsorship,Longines Global Champions Tour,Equestrian
Saudi Esports Federation,Direct sponsorship,Riyadh 2023 Global Esports Games,Esports
Saudi Golf Federation,Direct sponsorship,Aramco Saudi Ladies International,Golf
Saudi Golf Federation,Direct sponsorship,Aramco Team Series,Golf
Saudi Golf Federation,Direct sponsorship,PIF Saudi International,Golf
Saudi Golf Federation,Direct sponsorship,The PIF Saudi Open,Golf
Saudi Motorsport Marshals Club,Direct sponsorship,2023 Saudi Toyota Championship,Motorsport
Saudi Polo Federation,Direct sponsorship,Richard Mille AlUla Desert Polo,Polo
Saudi Sports for All Federation,Direct sponsorship,2023 Riyadh Marathon,Athletics
Saudi Sports for All Federation,Direct sponsorship,2028 TAFISA World Sport for All Games,Multisport
Saudi Tennis Federation,Direct sponsorship,Next Gen ATP Finals,Tennis
SAUDIA,Direct sponsorship,2023 Custodian of the Two Holy Mosques Endurance Cup,Equestrian
SAUDIA,Direct sponsorship,2023 WWE Crown Jewel,Wrestling
SAUDIA,Direct sponsorship,Aston Martin Aramco Cognizant F1 Team,Motorsport
SAUDIA,Direct sponsorship,Formula E,Motorsport
SAUDIA,Direct sponsorship,Newcastle United's 22/23 Tour Partner,Football
SAUDIA,Direct sponsorship,Newcastle United's Official Airline Partner,Football
SAUDIA,Direct sponsorship,Richard Mille AlUla Desert Polo,Polo
SAUDIA,Direct sponsorship,Riyadh Season,Multisport
SAUDIA,Direct sponsorship,Stoffel Vandoorne,Motorsport
SAUDIA,Direct sponsorship,Tyson Fury vs. Francis Ngannou,Boxing
Sports Boulevard,Direct sponsorship,2023 Riyadh Marathon,Athletics
Sports Boulevard,Direct sponsorship,Jockey Club of Saudi Arabia,Equestrian
Sports Boulevard,Direct sponsorship,Jump Saudi,Equestrian
Sports Boulevard,Direct sponsorship,Saudi Arabian Equestrian Federation,Equestrian
Sports Boulevard,Direct sponsorship,Saudi Cup 2023,Equestrian
Sports Boulevard,Direct sponsorship,Saudi Cycling Federation,Cycling
Sports Boulevard,Direct sponsorship,Saudi Tour 2023,Cycling
Sports Halls Damman,Direct sponsorship,Saudi Arabian Hockey Federation,Hockey
Tawuniya,Direct sponsorship,Saudi Arabian Climbing and Hiking Federation,Climbing
The Royal Commission for AlUla,Direct sponsorship,2023 Custodian of the Two Holy Mosques Endurance Cup,Equestrian
The Royal Commission for AlUla,Direct sponsorship,Alula FC (Ownership),Football
The Royal Commission for AlUla,Direct sponsorship,Richard Mille AlUla Desert Polo,Polo
The Royal Commission for AlUla,Direct sponsorship,Saudi Arabian Equestrian Federation,Equestrian
The Royal Commission for AlUla,Direct sponsorship,Saudi Tour 2023,Cycling
The Royal Commission for AlUla,Direct sponsorship,Sistemaeventi,Equestrian
The Royal Commission for AlUla,Direct sponsorship,Team Jayco AlUla,Cycling
The Royal Commission for Riyadh,Direct sponsorship,2028 TAFISA World Sport for All Games,Multisport
The Saudi Investment Bank,Direct sponsorship,2023 Saudi Toyota Championship,Motorsport
The Saudi Investment Bank,Direct sponsorship,Gamers8,Esports
The Saudi Investment Bank,Direct sponsorship,Real Madrid,Football
The Saudi Olympic & Paralympic Committee,Direct sponsorship,2023 Riyadh Marathon,Athletics
The Saudi Olympic & Paralympic Committee,Direct sponsorship,2023 Saudi Games,Multisport
The Saudi Olympic & Paralympic Committee,Direct sponsorship,2028 TAFISA World Sport for All Games,Multisport
The Saudi Olympic & Paralympic Committee,Direct sponsorship,Aramco Saudi Ladies International,Golf
The Saudi Olympic & Paralympic Committee,Direct sponsorship,Aramco Team Series,Golf
The Saudi Olympic & Paralympic Committee,Direct sponsorship,Jump Saudi,Equestrian
The Saudi Olympic & Paralympic Committee,Direct sponsorship,PIF Saudi International,Golf
The Saudi Olympic & Paralympic Committee,Direct sponsorship,Saudi Tour 2023,Cycling
The Saudi Olympic & Paralympic Committee,Direct sponsorship,The PIF Saudi Open,Golf
Vision 2030,Direct sponsorship,2023 IHF Men's Super Globe,Handball
Vision 2030,Direct sponsorship,2023 Riyadh Marathon,Athletics
Vision 2030,Direct sponsorship,2023 Saudi Games,Multisport
Vision 2030,Direct sponsorship,2028 TAFISA World Sport for All Games,Multisport
Vision 2030,Direct sponsorship,Formula 1 Saudi Arabian Grand Prix,Motorsport
Vision 2030,Direct sponsorship,Mahd Sports Academy,Multisport
Vision 2030,Direct sponsorship,Saudi Sports for All Federation,Multisport
Vision 2030,Direct sponsorship,Saudi Tour 2023,Cycling
Vision 2030,Quality of Life Program,2023 IHF Men's Super Globe,Handball
Vision 2030,Quality of Life Program,2023 Riyadh Marathon,Athletics
Vision 2030,Quality of Life Program,2023 Saudi Games,Multisport
Vision 2030,Quality of Life Program,Italian Super Cup,Football
Vision 2030,Quality of Life Program,Mahd Sports Academy,Multisport
Vision 2030,Quality of Life Program,Saudi Sports for All Federation,Multisport
Vision 2030,Quality of Life Program,Saudi Tour 2023,Cycling
Visit Saudi,Direct sponsorship,2023 AFC Asian Cup in Qatar,Football
Visit Saudi,Direct sponsorship,2023 African Football League,Football
Visit Saudi,Direct sponsorship,2023 FIFA Club World Cup,Football
Visit Saudi,Direct sponsorship,2023 Riyadh Marathon,Athletics
Visit Saudi,Direct sponsorship,2024 AFC Futsal Asian Cup,Football
Visit Saudi,Direct sponsorship,2024 AFC U17 Women’s Asian Cup,Football
Visit Saudi,Direct sponsorship,2024 AFC U20 Women’s Asian Cup,Football
Visit Saudi,Direct sponsorship,2024 AFC U23 Asian Cup in Qatar,Football
Visit Saudi,Direct sponsorship,AFC Women’s Olympic Qualifying Tournament,Football
Visit Saudi,Direct sponsorship,Asian Football Confederation,Football
Visit Saudi,Direct sponsorship,Dakar Rally,Motorsport
Visit Saudi,Direct sponsorship,Diriyah Season,Multisport
Visit Saudi,Direct sponsorship,Indian Premier League,Cricket
Visit Saudi,Direct sponsorship,LaLiga,Football
Visit Saudi,Direct sponsorship,Lionel Messi,Football
Visit Saudi,Direct sponsorship,Tyson Fury vs. Francis Ngannou,Boxing
